iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,c_avg,g_avg_0,c_pi_exact,g_pi_exact_0,c_pi,g_pi_0,lambda_0,c_br_exact,g_br_exact_0,c_br,g_br_0
0,10.32815024,5.123889409,0.00782841,0.096017431,-0.080371417,0.396950722,-0.00782841,0.016017431,-0.080371417,0.396950722,15,-0.00782841,0.016017431,-0.080371417,0.396950722
1,4.099122394,5.150559103,0.007282495,0.09280358,-0.182689101,0.19272705,0.0223934,0.016183418,-0.285006791,-0.011496622,4.499416515,-0.009939729,0.015876169,0.272146612,0.550364971
2,6.92122389,-4.427376325,0.006383452,0.086017431,0.04901262,0.279073709,0.004585365,0.015500342,0.512416065,0.451767027,5.805729856,-0.012526189,0.015615047,-0.227921516,-0.447857797
3,-0.022937588,-4.309299796,0.006246984,0.08105303,-0.022937588,0.022550802,0.005837579,0.015701712,-0.238788217,-0.74701792,0.935577944,0.005607232,0.01572183,-0.243523881,-0.569765806
4,0.050715435,0.955134521,0.002910866,0.085900397,0.050715435,0.011769813,-0.010433603,0.016033991,0.345327526,-0.03135414,19.01699493,-0.036684645,0.015962585,-0.386789322,0.198253587
5,0.064448483,-4.707519607,0.005471816,0.070585073,0.064448483,-0.133103415,0.018276564,0.015900678,0.133113727,-0.857469559,21.66813043,-0.074638309,0.015943512,-0.120145299,-0.361264795
6,0.035177041,3.824637399,3.18E-05,0.065887379,0.035177041,-0.177072474,-0.032608213,0.015839782,-0.140451625,-0.440886825,29.8770542,0.003553653,0.015815279,-0.344002068,0.351442158
7,0.035668235,-0.892326906,-0.003194804,0.065889595,0.035668235,-0.105845731,-0.02578111,0.015942722,0.039106637,0.392741472,29.98939779,-0.016406072,0.015959906,-0.223577425,0.007805042
8,0.321014117,-0.895003887,-0.005019304,0.0620067,0.035846576,-0.106374959,-0.025910016,0.016022436,0.03930217,0.394705179,30.13934478,-0.016488102,0.016039705,-0.224695312,0.007844067
9,2.889127057,-0.897688898,-0.00591948,0.075889595,0.036025809,-0.106906834,-0.026039566,0.016102548,0.039498681,0.396678705,30.2900415,-0.016570543,0.016119904,-0.225818789,0.007883288
10,5.778254114,-0.900381965,-0.008940395,0.06059678,0.036205938,-0.107441368,-0.026169764,0.01618306,0.039696175,0.398662098,30.44149171,-0.016653395,0.016200503,-0.226947883,0.007922704
11,13.28998446,-0.903083111,-0.01375934,0.055092938,0.036386968,-0.107978575,-0.026300612,0.016263976,0.039894656,0.400655409,30.59369917,-0.016736662,0.016281506,-0.228082622,0.007962317
12,33.22496116,-0.90579236,-0.0109475,0.052239059,0.036568903,-0.108518468,-0.026432116,0.016345296,0.040094129,0.402658686,30.74666766,-0.016820346,0.016362913,-0.229223035,0.008002129
13,36.87970688,-0.908509737,-0.01539394,0.050954895,0.036751747,-0.10906106,-0.026564276,0.016427022,0.040294599,0.404671979,30.900401,-0.016904447,0.016444728,-0.23036915,0.00804214
14,40.93647464,-0.911235266,-0.0178002,0.04840715,0.036935506,-0.109606366,-0.026697098,0.016509157,0.040496072,0.406695339,31.05490301,-0.01698897,0.016526951,-0.231520996,0.00808235
15,45.43948685,-0.913968972,-0.018992,0.045986793,0.037120184,-0.110154398,-0.026830583,0.016591703,0.040698553,0.408728816,31.21017752,-0.017073914,0.016609586,-0.232678601,0.008122762
16,50.4378304,-0.916710879,-0.0201945,0.044388113,0.037305785,-0.11070517,-0.026964736,0.016674662,0.040902046,0.41077246,31.36622841,-0.017159284,0.016692634,-0.233841994,0.008163376
17,55.98599175,-0.919461012,-0.02221395,0.036110491,0.037492314,-0.111258695,-0.02709956,0.016758035,0.041106556,0.412826322,31.52305955,-0.01724508,0.016776097,-0.235011204,0.008204193
18,62.14445084,-0.922219395,-0.02665674,0.031143917,0.037679775,-0.111814989,-0.027235057,0.016841825,0.041312089,0.414890454,31.68067485,-0.017331306,0.016859978,-0.23618626,0.008245214
19,68.98034043,-0.924986053,-0.037319436,0.033958309,0.037868174,-0.112374064,-0.027371233,0.016926034,0.041518649,0.416964906,31.83907822,-0.017417962,0.016944278,-0.237367191,0.00828644
20,76.56817788,-0.927761011,-0.033587492,0.031862478,0.038057515,-0.112935934,-0.027508089,0.017010664,0.041726242,0.419049731,31.99827361,-0.017505052,0.017028999,-0.238554027,0.008327872
21,84.99067745,-0.930544294,-0.035266867,0.031723166,0.038247802,-0.113500614,-0.027645629,0.017095718,0.041934874,0.421144979,32.15826498,-0.017592577,0.017114144,-0.239746797,0.008369511
22,94.33965197,-0.933335927,-0.04232024,0.03058455,0.038439041,-0.114068117,-0.027783857,0.017181196,0.042144548,0.423250704,32.31905631,-0.01768054,0.017199715,-0.240945531,0.008411359
23,104.7170137,-0.936135935,-0.042531842,0.031646627,0.038631237,-0.114638457,-0.027922777,0.017267102,0.042355271,0.425366958,32.48065159,-0.017768943,0.017285713,-0.242150259,0.008453416
24,116.2358852,-0.938944343,-0.042574373,0.030809394,0.038824393,-0.11521165,-0.028062391,0.017353438,0.042567047,0.427493793,32.64305485,-0.017857788,0.017372142,-0.24336101,0.008495683
25,129.0218326,-0.941761176,-0.042616948,0.030372847,0.039018515,-0.115787708,-0.028202703,0.017440205,0.042779882,0.429631261,32.80627012,-0.017947077,0.017459003,-0.244577815,0.008538161
26,143.2142341,-0.944586459,-0.051566507,0.033236983,0.039213607,-0.116366647,-0.028343716,0.017527406,0.042993782,0.431779418,32.97030147,-0.018036812,0.017546298,-0.245800704,0.008580852
27,158.9677999,-0.947420219,-0.047492753,0.033501798,0.039409675,-0.11694848,-0.028485435,0.017615043,0.043208751,0.433938315,33.13515298,-0.018126996,0.017634029,-0.247029708,0.008623756
28,176.4542579,-0.950262479,-0.047930161,0.033767289,0.039606724,-0.117533222,-0.028627862,0.017703118,0.043424794,0.436108006,33.30082874,-0.018217631,0.017722199,-0.248264856,0.008666875
29,195.8642263,-0.953113267,-0.048371598,0.033633452,0.039804757,-0.118120888,-0.028771001,0.017791634,0.043641918,0.438288546,33.46733289,-0.018308719,0.01781081,-0.249506181,0.00871021
30,217.4092911,-0.955972606,-0.0488171,0.033500285,0.040003781,-0.118711493,-0.028914856,0.017880592,0.043860128,0.440479989,33.63466955,-0.018400263,0.017899864,-0.250753712,0.008753761
31,241.3243132,-0.958840524,-0.049266706,0.033367784,0.0402038,-0.11930505,-0.02905943,0.017969995,0.044079428,0.442682389,33.8028429,-0.018492264,0.017989364,-0.25200748,0.008797529
32,267.8699876,-0.961717046,-0.049720452,0.032235945,0.040404819,-0.119901575,-0.029204728,0.018059845,0.044299826,0.444895801,33.97185711,-0.018584725,0.01807931,-0.253267518,0.008841517
33,297.3356863,-0.964602197,-0.049720949,0.032104765,0.040606843,-0.120501083,-0.029350751,0.018150144,0.044521325,0.44712028,34.1417164,-0.018677649,0.018169707,-0.254533855,0.008885725
34,330.0426117,-0.967496004,-0.049721447,0.031974241,0.040809877,-0.121103589,-0.029497505,0.018240895,0.044743931,0.449355882,34.31242498,-0.018771037,0.018260556,-0.255806524,0.008930153
35,366.347299,-0.970398492,-0.049721944,0.03184437,0.041013927,-0.121709107,-0.029644992,0.018332099,0.044967651,0.451602661,34.48398711,-0.018864893,0.018351858,-0.257085557,0.008974804
36,406.6455019,-0.973309687,-0.049722441,0.031715148,0.041218996,-0.122317652,-0.029793217,0.01842376,0.045192489,0.453860674,34.65640704,-0.018959217,0.018443618,-0.258370985,0.009019678
37,451.3765071,-0.976229616,-0.049722938,0.031586572,0.041425091,-0.12292924,-0.029942184,0.018515879,0.045418452,0.456129978,34.82968908,-0.019054013,0.018535836,-0.25966284,0.009064776
38,501.0279229,-0.979158305,-0.049723435,0.03145864,0.041632217,-0.123543887,-0.030091894,0.018608458,0.045645544,0.458410627,35.00383752,-0.019149283,0.018628515,-0.260961154,0.0091101
39,556.1409944,-0.98209578,-0.049723933,0.031331346,0.041840378,-0.124161606,-0.030242354,0.0187015,0.045873772,0.460702681,35.17885671,-0.01924503,0.018721657,-0.26226596,0.009155651